param ratio,gate_proj,q_proj,v_proj,k_proj,o_proj,up_proj,down_proj
0.0,5.8,5.75,5.7,5.75,5.6,5.6,5.8
0.1,5.777777777777778,5.738888888888889,5.683333333333334,5.727777777777778,5.588888888888889,5.594444444444444,5.757777777777778
0.2,5.7555555555555555,5.727777777777778,5.666666666666667,5.705555555555556,5.5777777777777775,5.588888888888889,5.7355555555555555
0.30000000000000004,5.733333333333333,5.716666666666667,5.65,5.683333333333334,5.566666666666666,5.583333333333333,5.713333333333333
0.4,5.711111111111111,5.705555555555556,5.633333333333334,5.661111111111111,5.555555555555555,5.5777777777777775,5.681111111111111
0.5,5.688888888888888,5.694444444444445,5.616666666666666,5.638888888888888,5.544444444444444,5.572222222222222,5.66888888888888
0.6000000000000001,5.666666666666666,5.683333333333334,5.6,5.616666666666666,5.533333333333333,5.566666666666666,5.656666666666666
0.7000000000000001,5.644444444444444,5.6722222222222225,5.583333333333333,5.594444444444444,5.522222222222222,5.561111111111111,5.644444444444444
0.8,5.622222222222222,5.661111111111111,5.566666666666666,5.572222222222222,5.511111111111111,5.555555555555555,5.622222222222222
0.9,5.6,5.65,5.55,5.55,5.5,5.55,5.6
